,Avg Area,Avg Depth,Avg Width,Eu Obj,Mod Obj,Time,n_items
0,2.44,2.802,0.822,7.74,6.460000000000003,0.241,5
1,1.257,1.225,1.045,2.27,2.2699999999999987,0.937,4
2,1.643,1.926,0.826,5.92,5.720000000000006,309.446,8
3,2.066,2.112,0.882,4.1499999999999995,4.1499999999999995,0.215,4
4,1.506,1.825,0.829,6.140000000000001,5.410000000000001,166.182,8
5,1.942,1.973,1.033,8.36,7.469999999999998,307.517,9
6,1.906,1.699,1.038,8.33,8.329999999999993,3.422,8
7,3.272,2.99,1.057,5.1,5.099999999999998,0.049,3
8,2.036,2.337,0.838,9.67,7.340000000000008,128.437,8
9,1.957,2.073,0.965,7.46,5.950000000000007,0.274,6
10,2.246,2.508,0.896,10.069999999999999,9.219999999999988,306.432,9
11,1.986,2.278,0.877,9.05,8.039999999999997,208.607,9
12,1.414,1.878,0.825,4.26,4.240000000000004,34.122,6
13,1.824,2.119,0.869,6.6,5.669999999999992,19.353,7
14,2.011,1.972,1.036,5.48,5.479999999999993,0.172,5
15,2.2,2.863,0.807,3.75,3.75,0.012,3
16,2.927,2.868,0.977,8.68,8.309999999999997,11.249,6
17,2.034,2.366,0.883,8.58,7.0799999999999965,185.014,8
18,1.938,1.96,0.971,6.54,6.269999999999998,40.899,7
19,2.542,2.373,1.019,12.209999999999999,11.430000000000001,8.983,9
20,2.831,2.272,1.264,11.09,11.089999999999993,15.867,8
21,2.554,2.627,1.023,10.64,8.809999999999999,121.744,7
22,1.16,1.377,0.943,1.67,1.6700000000000004,0.071,3
23,2.595,2.768,0.91,9.93,7.080000000000005,1.033,6
24,2.489,2.649,0.863,9.71,8.540000000000003,80.776,8
25,2.357,2.479,0.922,11.22,9.509999999999993,310.163,9
26,1.834,1.827,0.973,8.370000000000001,7.589999999999997,304.825,9
27,3.147,2.557,1.261,12.569999999999999,12.570000000000007,3.654,9
28,2.787,2.737,1.03,4.37,4.3699999999999966,0.074,3
29,1.338,1.992,0.672,3.74,3.72,0.159,5
30,2.309,2.269,1.049,8.5,7.949999999999996,119.015,8
31,3.613,2.67,1.277,6.46,6.459999999999997,0.029,3
32,1.526,1.617,0.975,3.75,3.240000000000002,0.068,4
33,1.25,1.71,0.68,3.1799999999999997,3.059999999999995,4.843,5
34,3.315,2.916,1.166,8.56,8.560000000000004,0.211,5
35,2.539,2.466,1.026,9.41,8.250000000000007,109.393,7
36,1.391,1.907,0.733,2.79,2.79,0.011,3
37,2.144,2.083,0.984,7.499999999999999,7.189999999999999,39.894,7
38,1.801,1.62,1.11,4.1,4.099999999999996,2.882,5
39,3.0,2.94,0.977,10.429999999999998,9.649999999999999,29.221,7
40,2.504,2.376,0.988,11.03,10.350000000000005,306.076,9
41,1.63,1.614,1.038,4.44,4.309999999999994,2.627,5
42,2.039,2.403,0.897,3.92,3.9199999999999964,0.037,3
43,1.361,1.74,0.777,3.32,3.32,0.035,4
44,1.862,2.351,0.864,6.659999999999999,5.789999999999985,7.31,7
45,2.107,2.135,1.052,6.01,5.939999999999993,6.13,6
46,2.588,2.605,1.041,11.18,9.10000000000001,194.403,8
47,2.676,2.57,1.027,4.08,4.079999999999997,0.059,3
48,2.537,2.517,1.001,8.65,8.420000000000007,108.592,7
49,1.736,1.705,0.946,6.42,6.16,306.111,8
50,1.899,1.752,1.025,3.82,3.570000000000001,0.149,4
51,1.749,1.797,1.01,7.05,6.9999999999999885,306.918,9
52,1.81,1.642,1.074,4.06,4.059999999999995,0.584,5
53,2.106,1.897,1.11,2.95,2.95,0.039,3
54,2.958,2.602,1.074,8.989999999999998,8.99,0.443,5
55,2.4,2.325,0.925,8.740000000000002,8.629999999999999,143.525,8
56,2.951,2.786,1.087,13.400000000000002,12.519999999999989,305.754,9
57,1.889,2.316,0.839,9.399999999999999,6.960000000000006,283.845,8
58,2.765,3.19,0.91,8.19,6.74,1.274,5
59,2.658,2.26,1.137,4.359999999999999,4.359999999999999,0.057,3
60,2.243,2.054,1.11,6.92,5.3700000000000045,3.463,5
61,2.907,2.95,1.013,10.52,8.85,10.396,7
62,2.741,2.926,0.93,10.36,7.169999999999996,2.465,5
63,3.527,3.237,1.1,5.01,5.009999999999998,0.051,3
64,2.152,2.292,0.936,8.149999999999999,7.780000000000007,297.121,8
65,2.1,2.197,0.994,8.57,7.450000000000003,135.542,8
66,1.78,1.919,0.864,6.54,6.169999999999996,163.818,8
67,2.429,2.044,1.228,5.26,5.260000000000003,0.365,5
68,2.244,2.16,1.012,5.58,5.579999999999998,0.248,5
69,1.593,1.357,1.183,4.95,4.759999999999998,206.071,7
70,1.863,1.693,1.117,6.32,5.730000000000004,18.494,7
71,2.109,2.023,1.0,3.4000000000000004,3.3999999999999977,0.058,3
72,1.491,1.499,1.068,5.630000000000001,5.250000000000002,304.648,8
73,2.215,2.241,1.02,9.48,8.000000000000002,164.698,8
74,2.211,2.38,0.986,8.96,7.149999999999998,13.451,7
75,2.332,2.36,1.033,10.84,9.429999999999996,73.98,9
76,2.384,2.369,0.946,9.629999999999999,7.459999999999998,17.915,7
77,2.122,2.036,1.06,5.41,5.3300000000000045,1.512,5
78,1.869,2.109,0.904,6.54,5.950000000000001,47.059,7
79,2.088,1.902,1.14,9.34,8.510000000000003,307.043,9
80,2.39,2.563,1.0,8.87,8.069999999999999,3.219,7
81,2.531,2.756,0.97,9.83,8.339999999999998,109.779,7
82,2.073,2.297,0.88,3.5999999999999996,3.5999999999999996,0.043,3
83,2.523,2.219,1.127,8.42,8.419999999999998,2.699,7
84,2.591,2.846,0.862,11.64,10.700000000000005,304.236,9
85,2.762,2.66,1.11,8.3,7.99,7.232,6
86,2.327,1.991,1.09,7.819999999999999,7.730000000000004,1.676,7
87,1.812,1.924,0.908,4.569999999999999,4.570000000000001,2.879,5
88,1.745,1.871,0.925,6.8500000000000005,6.199999999999992,78.656,8
89,2.536,2.322,1.03,6.0600000000000005,6.059999999999999,0.059,4
90,2.242,2.6,0.863,5.11,5.11,0.539,4
91,2.63,2.481,1.083,10.21,9.27,82.388,8
92,2.618,2.115,1.155,5.79,5.789999999999999,0.097,4
93,1.346,1.584,0.851,4.369999999999999,4.37,24.456,7
94,1.587,1.757,0.868,4.48,4.359999999999999,9.33,6
95,2.349,2.311,0.976,9.719999999999999,7.6800000000000015,119.732,7
96,2.141,2.254,0.95,7.260000000000001,6.549999999999989,13.182,7
97,2.609,2.68,0.916,7.33,6.419999999999999,0.166,5
98,2.026,2.603,0.753,3.25,3.25,0.011,3
99,2.427,2.88,0.816,7.390000000000001,7.049999999999997,0.155,5
